Item,Description,Category,Fqty,Shortage,SupplierID
4886964,Glass cover adhesive(down) AA411,351. Package accessories -06. Other auxiliary materials,10000,0,M11
4887392,Motherboard support foam AA411 single-sided adhesive,351. Package accessories -06. Other auxiliary materials,3000,0,M11
4887390,BOX support foam AA411 single-sided adhesive,351. Package accessories -06. Other auxiliary materials,3000,0,M11
5182231,Fragile sticker F2.8 white O+,351. Package accessories -06. Other auxiliary materials,2017985,0,O16
4722592,Wide-angle camera lens AA400 tarnish glass,321.Structural Parts-07.Lens,500,0,J4
3886906,BTB steel cover AA438 stainless steel,321. Structural parts-05. Small Hardware,4625,0,J4
4890044,Main camera conductive foam AA265,351. Package accessories -06. Other auxiliary materials,5000,0,M11
9672224,FPC YAB256-0 FPC D0.12x2 ENI,315.PCB TYPE-02.FPC,56366,0,O13
9491417,Camera S5KJN1SQ03 50M 8.8?8.8?5.82 5P BTB BNN25B,312.Camera-n/A,282,0,O20
4891362,Battery BTB silica gel sleeve AA293,351. Package accessories -06. Other auxiliary materials,55499,0,
3204517,Motherboard bottom cover AA335 blue with cushion,321. Structural parts -24. Large plastic (lower cover),10730,0,M6
9181331,Fingerprint Sensor Module GSL6159 13.56mm*2.18mm*1.3mm QiandeBTB AA341_AC012 B917 Coating Black No_Bezel No_Dome,317.General Electronic Materials-11.fingerprint Module,273,0,J6
5172338,Color box information sticker AB457 realme 111mm*72.5mm*0.07mm IN Longqi,351. Package accessories -06. Other auxiliary materials,131853,0,O19
9491639,Camera IMX709 AF 32M 8.4mm*9.3mm*5.19mm 5P COB C2HA05,312.Camera-n/A,192,0,O20
4713105,Metal SIM card lock sticker AA513 Green stainless steel double card,321. Structural parts-30. Large hardware (others),991,0,J4
5172435,Tamper proof patch AA293 OPPO 35mm*20mm*0.05mm IN black Huaqin,351. Package accessories -06. Other auxiliary materials,6928,0,O19
4894995,Die cut accessories AC057 main camera sealing foam,351. Package accessories -06. Other auxiliary materials,4500,0,M11
4895361,Heat dissipation accessories AA531 receiver Graphite sheet,351. Package accessories -06. Other auxiliary materials,19595,0,O14
